feature,mean_ic,abs_mean_ic,ic_positive_rate,top_decile_excess,top_minus_bottom,hit_rate,worst_window,missing_rate,direction,valid_dates,rank_ic_stability_raw,recent_rank_ic_raw,recent_top_decile_excess_raw,single_factor_score,profile
stock_ret_minus_industry_ret_20d,-0.021184829550747318,0.021184829550747318,0.5833333333333334,-0.0013751346490470397,-0.0019956230372549146,0.4083333333333333,-0.028242913091414624,0.0026720106880427524,-1,120,0.012357817237935937,0.012357817237935937,-0.0013751346490470397,0.5338353630337598,general
net_profit_growth_yoy_zscore,0.004904700261549155,0.004904700261549155,0.5166666666666667,0.002655615935815305,0.0030327269507642446,0.6333333333333333,-0.01721640663058922,0.0,1,120,0.0025340951351337307,0.0025340951351337307,0.002655615935815305,0.5337179487179488,general
net_profit_growth_yoy_rank,0.004904700261549155,0.004904700261549155,0.5166666666666667,0.002655615935815305,0.0030327269507642446,0.6333333333333333,-0.01721640663058922,0.0,1,120,0.0025340951351337307,0.0025340951351337307,0.002655615935815305,0.5337179487179488,general
net_profit_growth_yoy,0.004904700261549155,0.004904700261549155,0.5166666666666667,0.002655615935815305,0.0030327269507642446,0.6333333333333333,-0.01721640663058922,0.0,1,120,0.0025340951351337307,0.0025340951351337307,0.002655615935815305,0.5337179487179488,general
boll_position_20d,-0.033038429581039405,0.033038429581039405,0.6166666666666667,-0.0008031220032292172,-0.0004943118819216584,0.525,-0.052944050072871306,0.004241816967267869,-1,120,0.020373698241640967,0.020373698241640967,-0.0008031220032292172,0.5316912029186579,general
boll_z_20d,-0.033038429581039405,0.033038429581039405,0.6166666666666667,-0.0008031220032292172,-0.0004943118819216584,0.525,-0.052944050072871306,0.004241816967267869,-1,120,0.020373698241640967,0.020373698241640967,-0.0008031220032292172,0.5316912029186579,general
float_market_cap_industry_rank,-0.009215096169782503,0.009215096169782503,0.525,0.0017558854906587387,,0.5416666666666666,-0.027725690438445257,0.0,-1,120,0.004837925489135814,0.004837925489135814,0.0017558854906587387,0.5314102564102565,general
stock_ret_minus_industry_ret_60d,-0.023571622793488286,0.023571622793488286,0.5833333333333334,-0.002341673426288827,-0.002450166594924602,0.36666666666666664,-0.02254999374676684,0.002588510354041416,-1,120,0.0137501132962015,0.0137501132962015,-0.002341673426288827,0.530894995118442,general
high_low_range_20d,-0.04566977796010798,0.04566977796010798,0.5666666666666667,-0.0018003272623724016,-0.0044592791481383315,0.475,-0.05860807704816748,0.004241816967267869,-1,120,0.02587954084406119,0.02587954084406119,-0.0018003272623724016,0.5284219721494271,general
cash_flow_quality_rank,-0.007128602991089464,0.007128602991089464,0.49166666666666664,0.003141570368672666,0.005113068870699957,0.55,-0.02988804820129509,0.08168002672010688,-1,120,0.0035048964706189865,0.0035048964706189865,0.003141570368672666,0.5281781511741431,general
cash_flow_quality_zscore,-0.007128602991089464,0.007128602991089464,0.49166666666666664,0.003141570368672666,0.005113068870699957,0.55,-0.02988804820129509,0.08168002672010688,-1,120,0.0035048964706189865,0.0035048964706189865,0.003141570368672666,0.5281781511741431,general
operating_cash_flow_to_net_profit,-0.007128602991089464,0.007128602991089464,0.49166666666666664,0.003141570368672666,0.005113068870699957,0.55,-0.02988804820129509,0.08168002672010688,-1,120,0.0035048964706189865,0.0035048964706189865,0.003141570368672666,0.5281781511741431,general
cash_flow_quality,-0.007128602991089464,0.007128602991089464,0.49166666666666664,0.003141570368672666,0.005113068870699957,0.55,-0.02988804820129509,0.08168002672010688,-1,120,0.0035048964706189865,0.0035048964706189865,0.003141570368672666,0.5281781511741431,general
atr_14d,-0.04391255124431826,0.04391255124431826,0.5583333333333333,-0.001762289146149368,-0.004247619141133196,0.475,-0.0600023615922044,0.0035237140948563795,-1,120,0.024517841111411028,0.024517841111411028,-0.001762289146149368,0.5270835260264117,general
deducted_net_profit_growth_3y_rank,0.012885086692865267,0.012885086692865267,0.5666666666666667,0.00046414798849341433,-0.0007120735448085382,0.525,-0.03215756269284667,0.01831997327989312,1,120,0.0073015491259569845,0.0073015491259569845,0.00046414798849341433,0.5270141565181645,general
deducted_net_profit_growth_3y,0.012885086692865267,0.012885086692865267,0.5666666666666667,0.00046414798849341433,-0.0007120735448085382,0.525,-0.03215756269284667,0.01831997327989312,1,120,0.0073015491259569845,0.0073015491259569845,0.00046414798849341433,0.5270141565181645,general
deducted_net_profit_growth_3y_zscore,0.012885086692865267,0.012885086692865267,0.5666666666666667,0.00046414798849341433,-0.0007120735448085382,0.525,-0.03215756269284667,0.01831997327989312,1,120,0.0073015491259569845,0.0073015491259569845,0.00046414798849341433,0.5270141565181645,general
stock_ret_minus_industry_ret_5d,-0.01755562275052652,0.01755562275052652,0.5583333333333333,-0.00011770400017466861,-0.002069791739382097,0.5,-0.03318477994038122,0.002154308617234469,-1,120,0.009801889369043974,0.009801889369043974,-0.00011770400017466861,0.5249127742664816,general
volume_z_20d,-0.02625892161206954,0.02625892161206954,0.5666666666666667,-0.00028098420353764216,0.0017862387068705511,0.525,-0.04113992787571932,0.004241816967267869,-1,120,0.014880055580172738,0.014880055580172738,-0.00028098420353764216,0.5239347926622476,general
ret_1d,-0.013990850874528948,0.013990850874528948,0.49166666666666664,0.0011989930799862242,0.001484588221346544,0.525,-0.03885600408760024,0.0016199064796259186,-1,120,0.0068788350133100655,0.0068788350133100655,0.0011989930799862242,0.5223380093520374,general
excess_ret_1d,-0.013990850874528948,0.013990850874528948,0.49166666666666664,0.0011989930799862242,0.001484588221346544,0.525,-0.03885600408760024,0.0016199064796259186,-1,120,0.0068788350133100655,0.0068788350133100655,0.0011989930799862242,0.5223380093520374,general
boll_z_60d,-0.03211160287395745,0.03211160287395745,0.5416666666666666,-0.00196219498870866,-0.0035681027986648765,0.4666666666666667,-0.04952553922348726,0.008700734802939212,-1,120,0.017393784890060285,0.017393784890060285,-0.00196219498870866,0.5173991572889369,general
boll_position_60d,-0.03211160287395745,0.03211160287395745,0.5416666666666666,-0.00196219498870866,-0.0035681027986648765,0.4666666666666667,-0.04952553922348726,0.008700734802939212,-1,120,0.017393784890060285,0.017393784890060285,-0.00196219498870866,0.5173991572889369,general
boll_width_60d,-0.031496911198809326,0.031496911198809326,0.5583333333333333,-0.0010926865823587461,-0.0012067446744970865,0.5166666666666667,-0.061965804608510804,0.008700734802939212,-1,120,0.017585775419335207,0.017585775419335207,-0.0010926865823587461,0.5172068495966292,general
